source,Ensembl_Gene_ID,default_panel
Wang 2016,ENSG00000175449,False
Wang 2016,ENSG00000175518,False
Wang 2016,ENSG00000175520,True
Wang 2016,ENSG00000175664,False
Wang 2016,ENSG00000175809,True
Wang 2016,ENSG00000175820,True
Wang 2016,ENSG00000175877,True
Wang 2016,ENSG00000176040,True
Wang 2016,ENSG00000176083,False
Wang 2016,ENSG00000176160,True
Wang 2016,ENSG00000176177,True
Wang 2016,ENSG00000176256,True
Wang 2016,ENSG00000176294,True
Wang 2016,ENSG00000176299,False
Wang 2016,ENSG00000176302,True
Wang 2016,ENSG00000176563,False
Wang 2016,ENSG00000176566,True
Wang 2016,ENSG00000176571,True
Wang 2016,ENSG00000176635,True
Wang 2016,ENSG00000176679,True
Wang 2016,ENSG00000176732,False
Wang 2016,ENSG00000176746,True
Wang 2016,ENSG00000176774,True
Wang 2016,ENSG00000176927,False
Wang 2016,ENSG00000176979,True
Wang 2016,ENSG00000176988,True
Wang 2016,ENSG00000177138,False
Wang 2016,ENSG00000177143,True
Wang 2016,ENSG00000177202,True
Wang 2016,ENSG00000177294,True
Wang 2016,ENSG00000177324,True
Wang 2016,ENSG00000177414,False
Wang 2016,ENSG00000177483,True
Wang 2016,ENSG00000177504,False
Wang 2016,ENSG00000177558,True
Wang 2016,ENSG00000177627,True
Wang 2016,ENSG00000177673,True
Wang 2016,ENSG00000177689,True
Wang 2016,ENSG00000177938,True
Wang 2016,ENSG00000177947,True
Wang 2016,ENSG00000177992,True
Wang 2016,ENSG00000177994,False
Wang 2016,ENSG00000178021,True
Wang 2016,ENSG00000178053,False
Wang 2016,ENSG00000178093,True
Wang 2016,ENSG00000178125,False
Wang 2016,ENSG00000178287,False
Wang 2016,ENSG00000178395,True
Wang 2016,ENSG00000178403,False
Wang 2016,ENSG00000178460,False
Wang 2016,ENSG00000178591,False
Wang 2016,ENSG00000178645,True
Wang 2016,ENSG00000178795,False
Wang 2016,ENSG00000178804,False
Wang 2016,ENSG00000178928,False
Wang 2016,ENSG00000178997,True
Wang 2016,ENSG00000179046,True
Wang 2016,ENSG00000179059,True
Wang 2016,ENSG00000179071,False
Wang 2016,ENSG00000179083,False
Wang 2016,ENSG00000179088,True
Wang 2016,ENSG00000179133,False
Wang 2016,ENSG00000179165,True
Wang 2016,ENSG00000179168,False
Wang 2016,ENSG00000179213,True
Wang 2016,ENSG00000179363,False
Wang 2016,ENSG00000179397,False
Wang 2016,ENSG00000179407,True
Wang 2016,ENSG00000179636,False
Wang 2016,ENSG00000179709,False
Wang 2016,ENSG00000179873,False
Wang 2016,ENSG00000180043,True
Wang 2016,ENSG00000180083,False
Wang 2016,ENSG00000180113,False
Wang 2016,ENSG00000180116,True
Wang 2016,ENSG00000180138,True
Wang 2016,ENSG00000180336,True
Wang 2016,ENSG00000180424,False
Wang 2016,ENSG00000180481,False
Wang 2016,ENSG00000180483,False
Wang 2016,ENSG00000180697,True
Wang 2016,ENSG00000180878,True
Wang 2016,ENSG00000181195,False
Wang 2016,ENSG00000181433,True
Wang 2016,ENSG00000181562,False
Wang 2016,ENSG00000181781,False
Wang 2016,ENSG00000181786,True
Wang 2016,ENSG00000181867,True
Wang 2016,ENSG00000182035,True
Wang 2016,ENSG00000182111,False
Wang 2016,ENSG00000182264,True
Wang 2016,ENSG00000182308,True
Wang 2016,ENSG00000182459,True
Wang 2016,ENSG00000182481,False
Wang 2016,ENSG00000182583,True
Wang 2016,ENSG00000182896,True
Wang 2016,ENSG00000182950,False
Wang 2016,ENSG00000182993,False
Wang 2016,ENSG00000183066,True
Wang 2016,ENSG00000183206,True
Wang 2016,ENSG00000183304,True
Wang 2016,ENSG00000183305,True
Wang 2016,ENSG00000183318,True
Wang 2016,ENSG00000183324,False
Wang 2016,ENSG00000183396,True
Wang 2016,ENSG00000183434,True
Wang 2016,ENSG00000183476,False
Wang 2016,ENSG00000183496,False
Wang 2016,ENSG00000183559,True
Wang 2016,ENSG00000183629,True
Wang 2016,ENSG00000183654,False
Wang 2016,ENSG00000183706,True
Wang 2016,ENSG00000183753,True
Wang 2016,ENSG00000183831,False
Wang 2016,ENSG00000183862,False
Wang 2016,ENSG00000184033,True
Wang 2016,ENSG00000184108,True
Wang 2016,ENSG00000184361,True
Wang 2016,ENSG00000184378,False
Wang 2016,ENSG00000184478,False
Wang 2016,ENSG00000184507,True
Wang 2016,ENSG00000184560,True
Wang 2016,ENSG00000184571,False
Wang 2016,ENSG00000184647,True
Wang 2016,ENSG00000184650,True
Wang 2016,ENSG00000184661,False
Wang 2016,ENSG00000184735,True
Wang 2016,ENSG00000184786,True
Wang 2016,ENSG00000184814,True
Wang 2016,ENSG00000185013,True
Wang 2016,ENSG00000185056,True
Wang 2016,ENSG00000185156,False
Wang 2016,ENSG00000185177,True
Wang 2016,ENSG00000185247,False
Wang 2016,ENSG00000185290,False
Wang 2016,ENSG00000185294,True
Wang 2016,ENSG00000185523,False
Wang 2016,ENSG00000185686,True
Wang 2016,ENSG00000185775,True
Wang 2016,ENSG00000185823,True
Wang 2016,ENSG00000185888,True
Wang 2016,ENSG00000185955,False
Wang 2016,ENSG00000185958,True
Wang 2016,ENSG00000185972,True
Wang 2016,ENSG00000186007,False
Wang 2016,ENSG00000186075,True
Wang 2016,ENSG00000186086,False
Wang 2016,ENSG00000186103,False
Wang 2016,ENSG00000186118,True
