Ensembl_Gene_ID,Symbol,paper_dois,source_tags,source_locations,default_panel,nomination_scope,legacy_retention_evidence_caveat,evidence_scope
ENSG00000169777,TAS2R1,10.18632/oncotarget.21715,daSilva2017_CT;daSilva2017_testis_biased,10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 953 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 831,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169800,RBMY1F,10.1038/ncomms10499;10.18632/oncotarget.21715,Wang2016_CT;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 559 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 817 | 10.18632/oncotarget.21715: oncotarget-08-92966-s004.xlsx / Supplementary_Table3 / rows 108,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169918,OTUD7A,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 711,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169953,HSFY2,10.1038/ncomms10499;10.18632/oncotarget.21715,Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 560 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 447 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 383,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000170100,ZNF778,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 564,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000170160,CCDC144A,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 388,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000170236,USP50,10.1002/cam4.2223;10.1038/ncomms10499;10.18632/oncotarget.21715,Chang2019_TGCT;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 566 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 561 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 1059 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 919,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000170264,FAM161A,10.1002/1878-0261.12900,Jamin2021_CT;Jamin2021_core,10.1002/1878-0261.12900: MOL2-15-3003-s003.xlsx / Annotation / rows 56 | 10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 3307,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000170279,C7orf33,10.1038/ncomms10499;10.18632/oncotarget.21715,Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 562 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 123 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 104,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000170469,SPATA24,10.1002/cam4.2223;10.1038/ncomms10499,Chang2019_TGCT;Wang2016_CT,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 567 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 563,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
