identity,Ensembl_Gene_ID,Symbol,biotype,source_databases,nominated,mapped,protein_coding,family_eligible,hpa_restriction,default_panel
ENSG00000172717,ENSG00000172717,GARIN2,protein_coding,CTexploreR_CT;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000172733,ENSG00000172733,PURG,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000172738,ENSG00000172738,TMEM217,protein_coding,Bruggeman2018_GC;Chang2019_TGCT;Jamin2021_CT;Jamin2021_core;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000172771,ENSG00000172771,EFCAB12,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000172785,ENSG00000172785,ZNG1A,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000172840,ENSG00000172840,PDP2,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000172967,ENSG00000172967,XKR3,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000173093,ENSG00000173093,CCDC63,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,False,False
ENSG00000173157,ENSG00000173157,ADAMTS20,protein_coding,Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000173213,ENSG00000173213,TUBB8B,protein_coding,Chang2019_TGCT;Loriot2025_S2,True,True,True,True,False,False
ENSG00000173258,ENSG00000173258,ZNF483,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000173261,ENSG00000173261,PLAC8L1,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000173262,ENSG00000173262,SLC2A14,protein_coding,Bruggeman2018_GC;Gong2021_reproductive_PC;Loriot2025_S2,True,True,True,True,False,False
ENSG00000173335,ENSG00000173335,CST9,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000173389,ENSG00000173389,IQCF1,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000173401,ENSG00000173401,GLIPR1L1,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000173421,ENSG00000173421,IHO1,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000173431,ENSG00000173431,RNASE8,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000173451,ENSG00000173451,THAP2,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000173464,ENSG00000173464,RNASE11,protein_coding,Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000173557,ENSG00000173557,CIMIP2C,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000173611,ENSG00000173611,SCAI,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000173621,ENSG00000173621,LRFN4,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000173627,ENSG00000173627,APOBEC4,protein_coding,Gong2021_reproductive_PC;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000173673,ENSG00000173673,HES3,protein_coding,Wang2016_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000173699,ENSG00000173699,SPATA3,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000173714,ENSG00000173714,WFIKKN2,protein_coding,Gong2021_reproductive_PC,True,True,True,True,False,False
ENSG00000173728,ENSG00000173728,SPMIP3,protein_coding,Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S2;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000173769,ENSG00000173769,TOPAZ1,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000173809,ENSG00000173809,TDRD12,protein_coding,Bruggeman2018_GC;CTexploreR_CTP;Chang2019_TGCT;Loriot2025_S2;Wang2016_CT;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,False,False
