cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_gt100,pct_gt100,n_gt200,pct_gt200
OV,426,MAGEA9,MAGEA9,19,4.46,5,1.17,1,0.23,0,0.0
OV,426,CXorf49,CXorf49,18,4.23,6,1.41,4,0.94,1,0.23
OV,426,YBX2,YBX2,18,4.23,4,0.94,0,0.0,0,0.0
OV,426,MAGEC2,MAGEC2,16,3.76,6,1.41,1,0.23,0,0.0
OV,426,XAGE1,XAGE1,14,3.29,9,2.11,7,1.64,2,0.47
OV,426,SSX4,SSX4,10,2.35,1,0.23,0,0.0,0,0.0
OV,426,COX7B2,COX7B2,9,2.11,2,0.47,0,0.0,0,0.0
OV,426,ACTL8,ACTL8,8,1.88,3,0.7,0,0.0,0,0.0
OV,426,MAGEA3,MAGEA3,7,1.64,1,0.23,0,0.0,0,0.0
OV,426,PAGE1,PAGE1,7,1.64,3,0.7,2,0.47,0,0.0
OV,426,PLAC1,PLAC1,7,1.64,0,0.0,0,0.0,0,0.0
OV,426,MAGEC1,MAGEC1,5,1.17,1,0.23,0,0.0,0,0.0
OV,426,MAGEA1,MAGEA1,4,0.94,2,0.47,0,0.0,0,0.0
OV,426,MAGEA10,MAGEA10,4,0.94,0,0.0,0,0.0,0,0.0
