gene,rho,p,n,med_log10tpm
PRKCQ-AS1,-0.16236917434328493,0.3589004431209547,34,0.7348761962480678
RASSF10,-0.16229501168100605,0.3516074198567733,35,0.40032242913980315
MVP,-0.16228364608614068,0.35164160427697894,35,2.0675561795899045
UBE2Q1,-0.16228364608614068,0.35164160427697894,35,1.7538945209187604
PCDHA1,-0.16228364608614068,0.35164160427697894,35,0.01496846263208395
TBCK,-0.16222487554804105,0.3518184010763074,35,1.002004845925301
CRTC3,-0.16222487554804105,0.3518184010763074,35,1.1435697488387382
NPM1P46,-0.16221614024871067,0.35935967086395115,34,0.02915898896729122
LINC01050,-0.16217035290531154,0.3594971387286208,34,0.0
ERCC6L2-AS1,-0.16214655237405035,0.3673056523996491,33,0.683520629441877
CDC42BPB,-0.16214338364354244,0.3520636383633107,35,1.5593342235318424
ZFP92,-0.16214338364354244,0.3520636383633107,35,0.13640471707145507
ZNF816,-0.16214338364354244,0.3520636383633107,35,0.7543518273669824
KCNE3,-0.16214338364354244,0.3520636383633107,35,0.8316069434055785
ANKRD40CL,-0.1621245756184376,0.3673714675189211,33,0.0
KCTD16,-0.16202581548153477,0.35241762338534477,35,0.012879277932489552
RASSF1,-0.16200312120094423,0.3524859781371224,35,1.305681329375535
PDZD7,-0.16194433101618103,0.35266309029174037,35,0.19055103153644967
CCDC163,-0.16191007205956215,0.36027918041334345,34,0.44785563482129115
SMIM8,-0.16191007205956215,0.36027918041334345,34,0.784443848171167
RAB11FIP3,-0.16186285875834602,0.35290862354083075,35,1.315947958782735
GCFC2,-0.16186285875834602,0.35290862354083075,35,1.168963878589716
MAML1,-0.16186285875834602,0.35290862354083075,35,1.110182528315697
CORO2B,-0.16186285875834602,0.35290862354083075,35,0.21707735960035698
DIABLO,-0.16186285875834602,0.35290862354083075,35,1.8418947744488792
NPIPB4,-0.16184591957316805,0.3604720895136446,34,1.2845181257125735
AP1S2,-0.16180405875025106,0.35308589340101165,35,1.135777282970673
FAM222B,-0.16175703796498792,0.3607394620573513,34,1.2060399611989516
EFNB2,-0.1617225963157478,0.35333157451644526,35,1.1380112598706578
RNASE4,-0.1617225963157478,0.35333157451644526,35,1.1379735519704637
DNTTIP2,-0.1617225963157478,0.35333157451644526,35,1.6101553217786215
CEACAM19,-0.1617225963157478,0.35333157451644526,35,0.6493471989263936
ZNF93,-0.1617225963157478,0.35333157451644526,35,0.6442089731234513
OGFOD2,-0.1617225963157478,0.35333157451644526,35,1.1690855447344302
PAGR1,-0.16169287378633765,0.360932553557216,34,1.6119094329056762
UEVLD,-0.16166378648432106,0.35350900210055736,35,0.9918023741859795
GPAA1P2,-0.16160400387041365,0.36120009483840304,34,0.19551704715613055
CCDC186,-0.16160400387041365,0.36120009483840304,34,0.8220413321169578
ZNF234,-0.16158233387314958,0.35375483100556887,35,0.5468244932893285
GAB2,-0.16158233387314958,0.35375483100556887,35,0.9386356383141847
S100A1,-0.16158233387314958,0.35375483100556887,35,0.561324200681716
ODC1,-0.16152351421839106,0.3539324163317972,35,1.974088995608545
LINC01058,-0.16150078366518006,0.36151098601252635,34,0.04054483708941721
HTR1F,-0.16148731230895952,0.3540417420082761,35,0.02195752724545187
AP3S2,-0.16146468711623077,0.3541100778653486,35,1.2805011783622557
CTAGE8,-0.1614509697758394,0.3616610786739439,34,0.5725197324479435
RIPPLY3,-0.1614509697758394,0.3616610786739439,34,0.16973223151279332
HYAL2,-0.16144207143055136,0.35417839294939657,35,1.6414224085356441
KANSL3,-0.16144207143055136,0.35417839294939657,35,1.2567921179497767
CTDSPL,-0.16138324195246107,0.3543561360357439,35,1.2834574109132983
AMPH,-0.16138324195246107,0.3543561360357439,35,0.15918867482579627
ASAH2B,-0.16138324195246107,0.3543561360357439,35,0.5587167516258152
MTMR11,-0.16138324195246107,0.3543561360357439,35,0.9432752358253115
KRT18P68,-0.16134493277153766,0.36198069926085547,34,0.010551252586460422
PLCD3,-0.16130180898795313,0.3546022602887173,35,1.5424091136398972
RBM34,-0.16130180898795313,0.3546022602887173,35,1.7834607946946401
ECT2L,-0.16130180898795313,0.3546022602887173,35,0.0238629242332656
TRAP1,-0.16130180898795313,0.3546022602887173,35,1.8889537745502027
VAT1L,-0.16125426397924175,0.35474600864676037,35,0.09702569365005795
CNIH3,-0.16124296968653104,0.354780161153002,35,0.5921435453714806
VGF,-0.16124296968653104,0.354780161153002,35,0.1436005463991827
SEC22B2P,-0.16121226880548775,0.3701097677872937,33,0.6392424787169619
HTR3E,-0.161173785554453,0.3549894083806815,35,0.00441897157517473
TAPBPL,-0.16116154654535494,0.35502643296391084,35,1.4832963434579522
PNN,-0.16116154654535494,0.35502643296391084,35,1.5667712579918953
NSF,-0.16116154654535494,0.35502643296391084,35,1.302087668648868
RIPK3,-0.16116154654535494,0.35502643296391084,35,0.8423133068911822
SLIT1,-0.16110269742060107,0.35520449162376844,35,0.03880131198118676
CLRN3,-0.1610932160181557,0.35523318434619133,35,0.058501563867796695
PSMA1,-0.1610212841027567,0.3554509109149511,35,2.1218581279718407
THOC6,-0.1610212841027567,0.3554509109149511,35,1.5240068224135817
FCF1P7,-0.16099778383438604,0.36302826669151406,34,0.0
RPL24P2,-0.1609918674921166,0.3630461356737997,34,0.5017243802615796
RAB5C,-0.16088102166015847,0.3558756940814032,35,2.121808404173599
TMPRSS4,-0.16086722636296935,0.3559174894609842,35,1.719846854719804
C1QTNF2,-0.16082215288874108,0.3560540683845774,35,0.18656308991338466
ALDH1L1-AS2,-0.16079092581238505,0.36365334606887917,34,0.008644217268566888
