cancer_code,cohort,n_samples,cta,q1,median,q3
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,SMC1B,0.035734,0.072969,0.170081
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,SPATA32,0.068936,0.125652,0.212569
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,SPATA4,0.297164,0.797171,1.448529
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,SSX1,0.0,0.0,0.0
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,STKLD1,1.378931,1.911028,2.74969
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,SYCE2,0.911665,1.502695,2.459217
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,SYCP3,0.11177,0.219687,0.389399
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,TEX14,0.335156,0.607777,1.265429
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,TMEM210,0.284017,0.576062,0.988797
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,TSPYL6,0.0,0.011183,0.012684
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,TULP2,0.011942,0.050737,0.102185
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,WDR64,0.012169,0.047749,0.102976
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,XAGE1A,0.0,0.0,0.024572
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,XAGE1B,0.0,0.0,0.101291
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,YBX2,2.048401,4.469322,8.648989
BRCA_LumA,Luminal A [BRCA_LumA] (n=501),501,ZC3H11B,0.06433,0.1162,0.172689
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,ADAM29,0.0,0.013655,0.091995
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,AKNAD1,0.147075,0.300149,0.551702
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,ANKRD7,0.037081,0.094909,0.292687
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,C12orf42,0.0,0.068237,0.189907
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,C1orf94,0.0,0.0,0.011617
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,CAGE1,0.0,0.012279,0.035365
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,CGB8,0.0,0.0,0.0
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,COX7B2,0.0,0.0,0.0
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,CTCFL,0.0,0.0,0.012082
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,DPEP3,0.011615,0.026201,0.069573
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,EGFL6,0.788419,1.314819,3.366974
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,FATE1,0.071938,0.136961,0.288185
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,HORMAD1,0.03609,0.080313,0.160421
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,LIN28B,0.0,0.0,0.0
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,LRRC36,0.274021,0.482721,0.869666
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEA1,0.0,0.048288,0.52929
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEA12,0.0,0.0,0.061397
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEA2,0.0,0.0,0.012234
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEA3,0.0,0.0,0.092145
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEA4,0.0,0.0,0.037329
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEA6,0.0,0.0,0.092729
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEA9B,0.0,0.0,0.046555
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEC1,0.0,0.012265,0.086128
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,MAGEC2,0.0,0.0,0.071855
