Ensembl_Gene_ID,Symbol,category
ENSG00000228861,RPL23AP12,ribosomal_protein
ENSG00000224438,RPL23AP14,ribosomal_protein
ENSG00000230841,RPL23AP15,ribosomal_protein
ENSG00000228190,RPL23AP16,ribosomal_protein
ENSG00000215893,RPL23AP17,ribosomal_protein
ENSG00000225338,RPL23AP18,ribosomal_protein
ENSG00000229716,RPL23AP19,ribosomal_protein
ENSG00000225067,RPL23AP2,ribosomal_protein
ENSG00000235990,RPL23AP20,ribosomal_protein
ENSG00000241670,RPL23AP21,ribosomal_protein
ENSG00000237213,RPL23AP22,ribosomal_protein
ENSG00000236863,RPL23AP23,ribosomal_protein
ENSG00000236679,RPL23AP24,ribosomal_protein
ENSG00000233084,RPL23AP25,ribosomal_protein
ENSG00000228884,RPL23AP26,ribosomal_protein
ENSG00000225669,RPL23AP27,ribosomal_protein
ENSG00000226331,RPL23AP28,ribosomal_protein
ENSG00000214024,RPL23AP29,ribosomal_protein
ENSG00000214914,RPL23AP3,ribosomal_protein
ENSG00000226658,RPL23AP30,ribosomal_protein
ENSG00000232625,RPL23AP31,ribosomal_protein
ENSG00000237887,RPL23AP32,ribosomal_protein
ENSG00000237824,RPL23AP33,ribosomal_protein
ENSG00000225991,RPL23AP34,ribosomal_protein
ENSG00000232568,RPL23AP35,ribosomal_protein
ENSG00000225124,RPL23AP36,ribosomal_protein
ENSG00000236148,RPL23AP37,ribosomal_protein
ENSG00000184423,RPL23AP38,ribosomal_protein
ENSG00000214074,RPL23AP39,ribosomal_protein
ENSG00000212932,RPL23AP4,ribosomal_protein
ENSG00000242321,RPL23AP40,ribosomal_protein
ENSG00000224085,RPL23AP41,ribosomal_protein
ENSG00000234851,RPL23AP42,ribosomal_protein
ENSG00000227337,RPL23AP43,ribosomal_protein
ENSG00000244088,RPL23AP44,ribosomal_protein
ENSG00000213285,RPL23AP45,ribosomal_protein
ENSG00000213122,RPL23AP46,ribosomal_protein
ENSG00000219814,RPL23AP47,ribosomal_protein
ENSG00000219135,RPL23AP48,ribosomal_protein
ENSG00000243422,RPL23AP49,ribosomal_protein
ENSG00000232778,RPL23AP50,ribosomal_protein
ENSG00000269721,RPL23AP51,ribosomal_protein
ENSG00000230370,RPL23AP52,ribosomal_protein
ENSG00000223508,RPL23AP53,ribosomal_protein
ENSG00000240486,RPL23AP54,ribosomal_protein
ENSG00000243265,RPL23AP55,ribosomal_protein
ENSG00000244413,RPL23AP56,ribosomal_protein
ENSG00000206147,RPL23AP57,ribosomal_protein
ENSG00000228657,RPL23AP58,ribosomal_protein
ENSG00000215002,RPL23AP59,ribosomal_protein
ENSG00000214835,RPL23AP6,ribosomal_protein
ENSG00000213147,RPL23AP60,ribosomal_protein
ENSG00000280012,RPL23AP61,ribosomal_protein
ENSG00000213233,RPL23AP62,ribosomal_protein
ENSG00000243721,RPL23AP63,ribosomal_protein
ENSG00000240970,RPL23AP64,ribosomal_protein
ENSG00000281913,RPL23AP64,ribosomal_protein
ENSG00000243964,RPL23AP65,ribosomal_protein
ENSG00000243141,RPL23AP66,ribosomal_protein
ENSG00000281051,RPL23AP66,ribosomal_protein
ENSG00000240991,RPL23AP67,ribosomal_protein
ENSG00000242850,RPL23AP68,ribosomal_protein
ENSG00000235315,RPL23AP69,ribosomal_protein
