Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
CACNG3,ENSG00000006116,Voltage-dependent calcium channel gamma-3 subunit,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRIN3B,ENSG00000116032,"Glutamate receptor ionotropic, NMDA 3B",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10H2,ENSG00000171942,Olfactory receptor 10H2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10H3,ENSG00000171936,Olfactory receptor 10H3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR7C2,ENSG00000127529,Olfactory receptor 7C2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1I1,ENSG00000094661,Olfactory receptor 1I1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LY75,,Lymphocyte antigen 75,CSPA_validated,CD205,Bausch-Fluck et al. 2018 PNAS 115:E10988
NRP2,ENSG00000118257,Neuropilin-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DSCAM,ENSG00000171587,Down syndrome cell adhesion molecule,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR137B,ENSG00000077585,Integral membrane protein GPR137B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLXNC1,ENSG00000136040,Plexin-C1,CSPA_validated,CD232,Bausch-Fluck et al. 2018 PNAS 115:E10988
MPZL2,ENSG00000149573,Myelin protein zero-like protein 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPHS1,ENSG00000161270,Nephrin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADCY9,ENSG00000162104,Adenylate cyclase type 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TLR5,ENSG00000187554,Toll-like receptor 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TLR2,ENSG00000137462,Toll-like receptor 2,CSPA_validated,CD282,Bausch-Fluck et al. 2018 PNAS 115:E10988
GFRA3,ENSG00000146013,GDNF family receptor alpha-3,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN1,ENSG00000117472,Tetraspanin-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN2,ENSG00000134198,Tetraspanin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN3,ENSG00000140391,Tetraspanin-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC16A7,ENSG00000118596,Monocarboxylate transporter 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC9,ENSG00000069431,ATP-binding cassette sub-family C member 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GALR3,ENSG00000128310,Galanin receptor type 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC19A2,ENSG00000117479,Thiamine transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR37L1,ENSG00000170075,Prosaposin receptor GPR37L1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RAMP2,ENSG00000131477,Receptor activity-modifying protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RAMP3,ENSG00000122679,Receptor activity-modifying protein 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CTNS,ENSG00000040531,Cystinosin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCN2B,ENSG00000149575,Sodium channel subunit beta-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERVK-19,,Endogenous retrovirus group K member 19 Env polyprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCGR3B,ENSG00000162747,Low affinity immunoglobulin gamma Fc region receptor III-B,CSPA_validated,CD16b,Bausch-Fluck et al. 2018 PNAS 115:E10988
LILRA1,ENSG00000104974,Leukocyte immunoglobulin-like receptor subfamily A member 1,Predicted,CD85i,Bausch-Fluck et al. 2018 PNAS 115:E10988
LILRB3,ENSG00000204577,Leukocyte immunoglobulin-like receptor subfamily B member 3,Predicted,CD85a,Bausch-Fluck et al. 2018 PNAS 115:E10988
LILRB5,ENSG00000105609,Leukocyte immunoglobulin-like receptor subfamily B member 5,Predicted,CD85c,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLXNA2,ENSG00000076356,Plexin-A2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGSF3,ENSG00000143061,Immunoglobulin superfamily member 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRP3,ENSG00000130881,Low-density lipoprotein receptor-related protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM23,ENSG00000114948,Disintegrin and metalloproteinase domain-containing protein 23,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM11,ENSG00000073670,Disintegrin and metalloproteinase domain-containing protein 11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FZD7,ENSG00000155760,Frizzled-7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRP4,ENSG00000134569,Low-density lipoprotein receptor-related protein 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFAP3L,ENSG00000198948,Microfibrillar-associated protein 3-like,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ASTN2,ENSG00000148219,Astrotactin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ICOSLG,ENSG00000160223,ICOS ligand,CSPA_validated,CD275,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRP5,ENSG00000162337,Low-density lipoprotein receptor-related protein 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH16,ENSG00000166589,Cadherin-16,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLRA3,ENSG00000145451,Glycine receptor subunit alpha-3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRN2,ENSG00000170382,Leucine-rich repeat neuronal protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEMA7A,ENSG00000138623,Semaphorin-7A,CSPA_validated,CD108,Bausch-Fluck et al. 2018 PNAS 115:E10988
ENTPD3,ENSG00000168032,Ectonucleoside triphosphate diphosphohydrolase 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC43A1,ENSG00000149150,Large neutral amino acids transporter small subunit 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR32,ENSG00000142511,Probable G-protein coupled receptor 32,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TECTA,ENSG00000109927,Alpha-tectorin,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
USH2A,ENSG00000042781,Usherin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LGR5,ENSG00000139292,Leucine-rich repeat-containing G-protein coupled receptor 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPC4,ENSG00000076716,Glypican-4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN11,ENSG00000013297,Claudin-11,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF21,ENSG00000146072,Tumor necrosis factor receptor superfamily member 21,CSPA_validated,CD358,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGA10,ENSG00000143127,Integrin alpha-10,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRP6,ENSG00000070018,Low-density lipoprotein receptor-related protein 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UPK3A,ENSG00000100373,Uroplakin-3a,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJB3,ENSG00000188910,Gap junction beta-3 protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A3,ENSG00000146477,Solute carrier family 22 member 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UPK1B,ENSG00000114638,Uroplakin-1b,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CEACAM4,ENSG00000105352,Carcinoembryonic antigen-related cell adhesion molecule 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATRN,ENSG00000088812,Attractin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABBR2,ENSG00000136928,Gamma-aminobutyric acid type B receptor subunit 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN9,ENSG00000011105,Tetraspanin-9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CPD,ENSG00000108582,Carboxypeptidase D,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2B3,ENSG00000204703,Putative olfactory receptor 2B3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2J3,ENSG00000204701,Olfactory receptor 2J3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2J2,ENSG00000196231,Olfactory receptor 2J2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NCR1,ENSG00000189430,Natural cytotoxicity triggering receptor 1,Predicted,CD335,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A5,ENSG00000197375,Solute carrier family 22 member 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR7C1,ENSG00000127530,Olfactory receptor 7C1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR7A10,ENSG00000127515,Olfactory receptor 7A10,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LY6H,ENSG00000176956,Lymphocyte antigen 6H,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AQP8,ENSG00000103375,Aquaporin-8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNTN5,ENSG00000149972,Contactin-5,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NFASC,ENSG00000163531,Neurofascin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM63A,ENSG00000196187,CSC1-like protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRIG2,ENSG00000198799,Leucine-rich repeats and immunoglobulin-like domains protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LPHN1,ENSG00000072071,Latrophilin-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA8,ENSG00000141338,ATP-binding cassette sub-family A member 8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLITRK3,ENSG00000121871,SLIT and NTRK-like protein 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLCO2B1,ENSG00000137491,Solute carrier organic anion transporter family member 2B1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLSTN1,ENSG00000171603,Calsyntenin-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLITRK5,ENSG00000165300,SLIT and NTRK-like protein 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2F2,ENSG00000221910,Olfactory receptor 2F2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6B1,ENSG00000221813,Olfactory receptor 6B1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4F21,ENSG00000176269,Olfactory receptor 4F21,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2A4,ENSG00000180658,Olfactory receptor 2A4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
S1PR2,ENSG00000267534,Sphingosine 1-phosphate receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFSF15,ENSG00000181634,Tumor necrosis factor ligand superfamily member 15,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UNC5C,ENSG00000182168,Netrin receptor UNC5C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CSPG5,ENSG00000114646,Chondroitin sulfate proteoglycan 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDH8,ENSG00000136099,Protocadherin-8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5F1,ENSG00000149133,Olfactory receptor 5F1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6A2,ENSG00000184933,Olfactory receptor 6A2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL18RAP,ENSG00000115607,Interleukin-18 receptor accessory protein,Predicted,CD218b,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR3B,ENSG00000149305,5-hydroxytryptamine receptor 3B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LYPD3,ENSG00000124466,Ly6/PLAUR domain-containing protein 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KCNK5,ENSG00000164626,Potassium channel subfamily K member 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MPZL1,ENSG00000197965,Myelin protein zero-like protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCB11,ENSG00000073734,Bile salt export pump,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2C1,ENSG00000168158,Olfactory receptor 2C1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJB5,ENSG00000189280,Gap junction beta-5 protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC34A2,ENSG00000157765,Sodium-dependent phosphate transport protein 2B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJB6,ENSG00000121742,Gap junction beta-6 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN7,ENSG00000181885,Claudin-7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA1,ENSG00000165029,ATP-binding cassette sub-family A member 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN9,ENSG00000213937,Claudin-9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LPHN2,ENSG00000117114,Latrophilin-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VNN1,ENSG00000112299,Pantetheinase,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VNN2,ENSG00000112303,Vascular non-inflammatory molecule 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC2A10,ENSG00000197496,"Solute carrier family 2, facilitated glucose transporter member 10",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADCY5,ENSG00000173175,Adenylate cyclase type 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NTSR2,ENSG00000169006,Neurotensin receptor type 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CRTAM,ENSG00000109943,Cytotoxic and regulatory T-cell molecule,Predicted,CD355,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEMA4F,ENSG00000135622,Semaphorin-4F,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR75,ENSG00000119737,Probable G-protein coupled receptor 75,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN1,ENSG00000163347,Claudin-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLP2R,ENSG00000065325,Glucagon-like peptide 2 receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN13,ENSG00000106537,Tetraspanin-13,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN15,ENSG00000099282,Tetraspanin-15,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
G6B,ENSG00000204420,Protein G6b,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LY6G6C,ENSG00000204421,Lymphocyte antigen 6 complex locus protein G6c,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LY6G6D,ENSG00000244355,Lymphocyte antigen 6 complex locus protein G6d,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC16A8,ENSG00000100156,Monocarboxylate transporter 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2H2,ENSG00000206512,Olfactory receptor 2H2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NCR2,ENSG00000096264,Natural cytotoxicity triggering receptor 2,Predicted,CD336,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD160,ENSG00000117281,CD160 antigen,CSPA_validated,CD160,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGSF6,ENSG00000140749,Immunoglobulin superfamily member 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
S1PR4,ENSG00000125910,Sphingosine 1-phosphate receptor 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RECK,ENSG00000122707,Reversion-inducing cysteine-rich protein with Kazal motifs,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EGFR,ENSG00000146648,Epidermal growth factor receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LDLR,ENSG00000130164,Low-density lipoprotein receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EGF,ENSG00000138798,Pro-epidermal growth factor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TGFA,ENSG00000163235,Protransforming growth factor alpha,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL2RA,ENSG00000134460,Interleukin-2 receptor subunit alpha,CSPA_validated,CD25,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD4,ENSG00000010610,T-cell surface glycoprotein CD4,CSPA_validated,CD4,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD8A,ENSG00000153563,T-cell surface glycoprotein CD8 alpha chain,CSPA_validated,CD8a,Bausch-Fluck et al. 2018 PNAS 115:E10988
PIGR,ENSG00000162896,Polymeric immunoglobulin receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-B,ENSG00000234745,"HLA class I histocompatibility antigen, B-7 alpha chain",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-A,ENSG00000235657,"HLA class I histocompatibility antigen, A-68 alpha chain",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-H,,"Putative HLA class I histocompatibility antigen, alpha chain H",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DRA,ENSG00000227993,"HLA class II histocompatibility antigen, DR alpha chain",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DQA2,ENSG00000206301,"HLA class II histocompatibility antigen, DQ alpha 2 chain",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DQA1,ENSG00000196735,"HLA class II histocompatibility antigen, DQ alpha 1 chain",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DRB1,ENSG00000196126,"HLA class II histocompatibility antigen, DRB1-15 beta chain",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DQB1,ENSG00000231286,"HLA class II histocompatibility antigen, DQ beta 1 chain",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNA1,ENSG00000138435,Acetylcholine receptor subunit alpha,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GYPA,ENSG00000170180,Glycophorin-A,CSPA_validated,CD235a,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC4A1,ENSG00000004939,Band 3 anion transport protein,CSPA_validated,CD233,Bausch-Fluck et al. 2018 PNAS 115:E10988
TRGC2,,T-cell receptor gamma-2 chain C region,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPN1SW,ENSG00000128617,Short-wave-sensitive opsin 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPN1LW,ENSG00000102076,Long-wave-sensitive opsin 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPN1MW,ENSG00000166160,Medium-wave-sensitive opsin 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PRNP,ENSG00000171867,Major prion protein,CSPA_validated,CD230,Bausch-Fluck et al. 2018 PNAS 115:E10988
MAS1,ENSG00000130368,Proto-oncogene Mas,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
THY1,ENSG00000154096,Thy-1 membrane glycoprotein,CSPA_validated,CD90,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-C,ENSG00000225691,"HLA class I histocompatibility antigen, Cw-3 alpha chain",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD74,ENSG00000019582,HLA class II histocompatibility antigen gamma chain,CSPA_validated,CD74,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD3D,ENSG00000167286,T-cell surface glycoprotein CD3 delta chain,CSPA_validated,CD3d,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DPB1,ENSG00000215048,"HLA class II histocompatibility antigen, DP beta 1 chain",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERBB2,ENSG00000141736,Receptor tyrosine-protein kinase erbB-2,CSPA_validated,CD340,Bausch-Fluck et al. 2018 PNAS 115:E10988
NTRK1,ENSG00000198400,High affinity nerve growth factor receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CYBB,ENSG00000165168,Cytochrome b-245 heavy chain,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RPN1,ENSG00000163902,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GYPC,ENSG00000136732,Glycophorin-C,CSPA_validated,CD236,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATP1A1,ENSG00000163399,Sodium/potassium-transporting ATPase subunit alpha-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATP1B1,ENSG00000143153,Sodium/potassium-transporting ATPase subunit beta-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
APP,ENSG00000142192,Amyloid beta A4 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGB3,ENSG00000259207,Integrin beta-3,CSPA_validated,CD61,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGB2,ENSG00000160255,Integrin beta-2,CSPA_validated,CD18,Bausch-Fluck et al. 2018 PNAS 115:E10988
ALPL,ENSG00000162551,"Alkaline phosphatase, tissue-nonspecific isozyme",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ALPP,ENSG00000163283,"Alkaline phosphatase, placental type",GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ICAM1,ENSG00000090339,Intercellular adhesion molecule 1,CSPA_validated,CD54,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DQB2,ENSG00000196610,"HLA class II histocompatibility antigen, DQ beta 2 chain",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGB1,ENSG00000150093,Integrin beta-1,CSPA_validated,CD29,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD1A,ENSG00000158477,T-cell surface glycoprotein CD1a,Predicted,CD1a,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD5,ENSG00000110448,T-cell surface glycoprotein CD5,CSPA_validated,CD5,Bausch-Fluck et al. 2018 PNAS 115:E10988
INSR,ENSG00000171105,Insulin receptor,CSPA_validated,CD220,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DOA,ENSG00000204252,"HLA class II histocompatibility antigen, DO alpha chain",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD2,ENSG00000116824,T-cell surface antigen CD2,CSPA_validated,CD2,Bausch-Fluck et al. 2018 PNAS 115:E10988
CEACAM5,ENSG00000105388,Carcinoembryonic antigen-related cell adhesion molecule 5,GPI_anchored,CD66e,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGAV,ENSG00000138448,Integrin alpha-V,CSPA_validated,CD51,Bausch-Fluck et al. 2018 PNAS 115:E10988
LPL,ENSG00000175445,Lipoprotein lipase,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TPO,ENSG00000115705,Thyroid peroxidase,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
THBD,ENSG00000178726,Thrombomodulin,CSPA_validated,CD141,Bausch-Fluck et al. 2018 PNAS 115:E10988
ASGR1,ENSG00000141505,Asialoglycoprotein receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ASGR2,ENSG00000161944,Asialoglycoprotein receptor 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CSF1R,ENSG00000182578,Macrophage colony-stimulating factor 1 receptor,CSPA_validated,CD115,Bausch-Fluck et al. 2018 PNAS 115:E10988
GP1BA,ENSG00000185245,Platelet glycoprotein Ib alpha chain,Predicted,CD42b,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNG,ENSG00000196811,Acetylcholine receptor subunit gamma,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADRB2,ENSG00000169252,Beta-2 adrenergic receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UMOD,ENSG00000169344,Uromodulin,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RET,ENSG00000165731,Proto-oncogene tyrosine-protein kinase receptor Ret,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJB1,ENSG00000169562,Gap junction beta-1 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGF1R,ENSG00000140443,Insulin-like growth factor 1 receptor,CSPA_validated,CD221,Bausch-Fluck et al. 2018 PNAS 115:E10988
RHO,ENSG00000163914,Rhodopsin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NGFR,ENSG00000064300,Tumor necrosis factor receptor superfamily member 16,Predicted,CD271,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRM2,ENSG00000181072,Muscarinic acetylcholine receptor M2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
