Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
FFAR2,ENSG00000126262,Free fatty acid receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERVK-18,,Endogenous retrovirus group K member 18 Env polyprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FLRT2,ENSG00000185070,Leucine-rich repeat transmembrane protein FLRT2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLXNB1,ENSG00000164050,Plexin-B1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM12,ENSG00000148848,Disintegrin and metalloproteinase domain-containing protein 12,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MLNR,ENSG00000102539,Motilin receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR39,ENSG00000183840,G-protein coupled receptor 39,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC7A4,ENSG00000099960,Cationic amino acid transporter 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TREH,ENSG00000118094,Trehalase,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SPINT2,ENSG00000167642,Kunitz-type protease inhibitor 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRTM2,ENSG00000146006,Leucine-rich repeat transmembrane neuronal protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADCY6,ENSG00000174233,Adenylate cyclase type 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AQP9,ENSG00000103569,Aquaporin-9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRID2,ENSG00000152208,"Glutamate receptor ionotropic, delta-2",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PROM1,ENSG00000007062,Prominin-1,CSPA_validated,CD133,Bausch-Fluck et al. 2018 PNAS 115:E10988
TGOLN2,ENSG00000152291,Trans-Golgi network integral membrane protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CACNA1G,ENSG00000006283,Voltage-dependent T-type calcium channel subunit alpha-1G,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM20,ENSG00000134007,Disintegrin and metalloproteinase domain-containing protein 20,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC26A4,ENSG00000091137,Pendrin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SGCE,ENSG00000127990,Epsilon-sarcoglycan,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RNF13,ENSG00000082996,E3 ubiquitin-protein ligase RNF13,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CA12,ENSG00000074410,Carbonic anhydrase 12,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GALR2,ENSG00000182687,Galanin receptor type 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HCRTR1,ENSG00000121764,Orexin receptor type 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HCRTR2,ENSG00000137252,Orexin receptor type 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PSCA,ENSG00000167653,Prostate stem cell antigen,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN6,ENSG00000000003,Tetraspanin-6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PPAP2C,ENSG00000141934,Lipid phosphate phosphohydrolase 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC6,ENSG00000105492,Sialic acid-binding Ig-like lectin 6,CSPA_validated,CD327,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR1F1,ENSG00000168124,Olfactory receptor 1F1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC37A4,,Glucose-6-phosphate translocase,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC28A2,ENSG00000137860,Sodium/nucleoside cotransporter 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2T1,ENSG00000175143,Olfactory receptor 2T1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
XPNPEP2,ENSG00000122121,Xaa-Pro aminopeptidase 2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EFNA2,ENSG00000099617,Ephrin-A2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD11,ENSG00000092931,UNC93-like protein MFSD11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMPRSS11D,ENSG00000153802,Transmembrane protease serine 11D,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BAI2,ENSG00000121753,Brain-specific angiogenesis inhibitor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BAI3,ENSG00000135298,Brain-specific angiogenesis inhibitor 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDH7,ENSG00000169851,Protocadherin-7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADCY3,ENSG00000138031,Adenylate cyclase type 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SUSD5,ENSG00000173705,Sushi domain-containing protein 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC37A3,ENSG00000176809,Leucine-rich repeat-containing protein 37A3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDHGA12,ENSG00000253159,Protocadherin gamma-A12,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FZD6,ENSG00000164930,Frizzled-6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
