Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000116251,RPL22,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000125691,RPL23,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198242,RPL23A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000114391,RPL24,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000161970,RPL26,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000131469,RPL27,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000166441,RPL27A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000108107,RPL28,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000162244,RPL29,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000100316,RPL3,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000156482,RPL30,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000071082,RPL31,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000144713,RPL32,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000109475,RPL34,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000136942,RPL35,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000182899,RPL35A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
